/home/postgres/b4/src/com/commander4j/app/JInternalFrameQMResultEnquiry.java,JInternalFrameQMResultEnquiry,buildSQL,166,80,SQL-119-001,SQL,WARNING,"USER_DATA_1のデータ・ディクショナリ・ビューまたは動的パフォーマンス・ビューを参照しているため、修正が必要です。","SELECT Sample_ID, Sample_Date,Inspection_ID,Activity_ID,Material,Process_Order, User_Data_1, User_Data_2 FROM APP_VIEW_QM_RESULTS WHERE 1 = 1 GROUP BY SAMPLE_ID,SAMPLE_DATE,Inspection_ID,Activity_ID,MATERIAL,PROCESS_ORDER,USER_DATA_1,USER_DATA_2"
/home/postgres/b4/src/com/commander4j/app/JInternalFrameQMResultEnquiry.java,JInternalFrameQMResultEnquiry,buildSQL,166,92,SQL-119-001,SQL,WARNING,"USER_DATA_2のデータ・ディクショナリ・ビューまたは動的パフォーマンス・ビューを参照しているため、修正が必要です。","SELECT Sample_ID, Sample_Date,Inspection_ID,Activity_ID,Material,Process_Order, User_Data_1, User_Data_2 FROM APP_VIEW_QM_RESULTS WHERE 1 = 1 GROUP BY SAMPLE_ID,SAMPLE_DATE,Inspection_ID,Activity_ID,MATERIAL,PROCESS_ORDER,USER_DATA_1,USER_DATA_2"
/home/postgres/b4/src/com/commander4j/app/JInternalFrameMaterialUomAdmin.java,inner$3,actionPerformed,230,7,SQL-107-008,SQL,LOW2,"FROMの省略は未サポートです。","Delete Material [ ] Uom [ ] ?"
/home/postgres/b4/src/com/commander4j/app/JInternalFrameMaterialUomAdmin.java,inner$3,actionPerformed,240,7,SQL-107-008,SQL,LOW2,"FROMの省略は未サポートです。","Delete error Material [ ] Uom [ ]"
/home/postgres/b4/src/com/commander4j/app/JInternalFrameMaterialAdmin.java,JInternalFrameMaterialAdmin,deleteRecord,208,7,SQL-107-008,SQL,LOW2,"FROMの省略は未サポートです。","Delete Material ?"
/home/postgres/b4/src/com/commander4j/app/JInternalFrameMaterialAdmin.java,JInternalFrameMaterialAdmin,deleteRecord,217,7,SQL-107-008,SQL,LOW2,"FROMの省略は未サポートです。","Delete error ( )"
/home/postgres/b4/src/com/commander4j/app/JInternalFrameMaterialAdmin.java,JInternalFrameMaterialAdmin,buildSQLr,307,0,FNC-099-001,FUNC,WARNING,"このまま移行する場合、引数のデータ型の確認が必要です。なぜなら、Oracleはデータ型がCHAR の場合、後続空白が含まれて変換されますが、PostgreSQLでは後続空白が含まれないためです。また、戻り値の型もOracleは引数の型なのに対し、PostgreSQLではtext型固定のため注意が必要です。","upper(description) LIKE"
/home/postgres/b4/src/com/commander4j/cfg/JFrameHostAdmin.java,inner$12,actionPerformed,715,0,FNC-086-001,FUNC,LOW2,"SYSDATE関数は未サポートです。","sysdate"
/home/postgres/b4/src/com/commander4j/cfg/JFrameHostAdmin.java,inner$12,actionPerformed,724,0,FNC-086-001,FUNC,LOW2,"SYSDATE関数は未サポートです。","sysdate"
/home/postgres/b4/src/com/commander4j/cfg/JFrameHostAdmin.java,inner$12,actionPerformed,733,0,FNC-086-001,FUNC,LOW2,"SYSDATE関数は未サポートです。","sysdate"
/home/postgres/b4/src/com/commander4j/cfg/JFrameHostAdmin.java,JFrameHostAdmin,initGUI,531,7,SQL-107-008,SQL,LOW2,"FROMの省略は未サポートです。","Delete DB Connection"
/home/postgres/b4/src/com/commander4j/sys/JInternalFrameModuleAdmin.java,JInternalFrameModuleAdmin,delete,109,7,SQL-107-008,SQL,LOW2,"FROMの省略は未サポートです。","Delete Module ?"
/home/postgres/b4/src/com/commander4j/sys/JInternalFrameModuleAdmin.java,JInternalFrameModuleAdmin,rename,189,0,SQL-097-001,SQL,ERROR LV4,"RENAME文は未サポートです。","Rename to module id"
/home/postgres/b4/src/com/commander4j/sys/JInternalFrameControlAdmin.java,inner$5,actionPerformed,237,7,SQL-107-008,SQL,LOW2,"FROMの省略は未サポートです。","Delete System Key ?"
/home/postgres/b4/src/com/commander4j/sys/JInternalFrameUserAdmin.java,JInternalFrameUserAdmin,delete,102,7,SQL-107-008,SQL,LOW2,"FROMの省略は未サポートです。","Delete User ?"
